   箱码            物流码           积分码
2834431524    9070155434824333    2877152414
2834431524    9070157867684671    6841152576
2834431524    9070158563545856    3651158153
2834431524    9070157524162857    6663157637
2834431524    9070157211461718    5828155665
2834431524    9070154875523772    4825157334
3215171524    9070153642552614    2217153243
3215171524    9070153166683873    3777155825
3215171524    9070156315121335    5862156171
3215171524    9070158168144357    7666156626
3215171524    9070156324224687    7686154685
3215171524    9070158153556856    1145155523
3466381524    9070158257714783    8553157141
3466381524    9070154177451715    7666158158
3466381524    9070153731754863    3425152347
3466381524    9070157683885454    5351157366
3466381524    9070157842812617    7283151733
3466381524    9070151172133265    8658156621
5284221524    9070153732385628    4344158525
5284221524    9070154338618543    1518156826
5284221524    9070154642122551    1315153814
5284221524    9070154472452513    4162153542
5284221524    9070158845324648    7264154254
5284221524    9070155612547488    6315157414
5382111524    9070151231658873    7444157767
5382111524    9070156565741521    5357151512
5382111524    9070151164346454    1111157811
5382111524    9070155881153337    1443151756
5382111524    9070151216631371    6754156332
5382111524    9070156568271176    4322156556
