   箱码            物流码           积分码
1521611590    1234152536761512    7178153712
1521611590    1234153855714671    5846155316
1521611590    1234158622586738    4684155238
1521611590    1234152162445443    5157156213
2813281590    1234153437462855    1416153287
2813281590    1234158756352168    1375151283
2813281590    1234155726861772    4485155815
2813281590    1234158748285156    5137152345
8547651590    1234158144184281    8415157768
8547651590    1234151658687512    6152155374
8547651590    1234155881123553    5474157523
8547651590    1234156764655634    4145151835
6386611590    1234157841468225    1327151613
6386611590    1234154434311678    6438157835
6386611590    1234151618337777    2152152147
6386611590    1234158763255686    5283155471
6773431590    1234155381218446    4511151652
6773431590    1234154612846348    3514152858
6773431590    1234155662781716    5334157774
6773431590    1234153737786874    3887153126
1151641590    1234158237626174    8473154852
1151641590    1234156355473117    5263156183
1151641590    1234152221785621    5383157587
1151641590    1234158353782654    8581152262
8854711590    1234154478316654    4451152321
8854711590    1234156116477438    4168152554
8854711590    1234157157517475    1438154177
8854711590    1234156625356882    8431158148
7725221590    1234158144853182    4687153561
7725221590    1234157233558557    2546152264
7725221590    1234155534533343    8818154852
7725221590    1234158456641465    8881152767
2524561590    1234155586615153    3644157644
2524561590    1234155238712686    3644158655
2524561590    1234155532465815    3143154556
2524561590    1234156686381156    3463151565
3774641590    1234153882183745    3726156756
3774641590    1234152764763512    1818154627
3774641590    1234155637865624    7187153227
3774641590    1234154213368833    3227155717
1288451590    1234151226532675    1746153868
1288451590    1234157375561818    8168153732
1288451590    1234152585124686    5147154265
1288451590    1234158485218434    4615157253
3672561590    1234152257225313    6618154512
3672561590    1234154654646112    2463154645
3672561590    1234156683785468    2478154847
3672561590    1234156435462633    8666153568
6346371590    1234154151884375    5124154787
6346371590    1234151654261512    2662156766
6346371590    1234157356612614    7347156544
6346371590    1234154487554416    1713152634
7323831590    1234154357548876    5764155337
7323831590    1234154538326374    8131151426
7323831590    1234156316547755    6648152424
7323831590    1234156711153711    8165153552
4166571590    1234154442658332    3212153282
4166571590    1234156268355348    5382156117
4166571590    1234157137133788    3442157678
4166571590    1234156645677311    8238156543
3321461590    1234155264867272    7163157314
3321461590    1234157284583773    4517157854
3321461590    1234157315238371    2738152271
3321461590    1234156481565351    3252156567
2114851590    1234153473117835    7658155375
2114851590    1234151487863648    4467152777
2114851590    1234153775564221    1836152676
2114851590    1234153883311661    5612153844
6211231590    1234158326337418    1527154286
6211231590    1234158573331871    7673155754
6211231590    1234154278317843    3882155645
6211231590    1234154424116762    3413154363
5547261590    1234153874113567    3411155621
5547261590    1234153247872516    5542158446
5547261590    1234158857467173    6157153241
5547261590    1234158331385216    3123152648
6378381590    1234155111657731    4751156355
6378381590    1234151142443217    1678157617
6378381590    1234156382273428    1746158242
6378381590    1234156256826558    2361153764
4332221590    1234151238812873    4833151568
4332221590    1234156136787651    4832151273
4332221590    1234158474855341    2778157124
4332221590    1234153462127774    4887156773
2634851590    1234155861588417    5751157651
2634851590    1234151255283212    7426156184
2634851590    1234153684665143    3711153861
2634851590    1234158343784148    1856155724
7126771590    1234151522485155    2575157651
7126771590    1234155841738381    6136151356
7126771590    1234153785357842    5116156681
7126771590    1234151232776487    3523151775
8776441590    1234152112111386    6888151258
8776441590    1234157424828444    7455155645
8776441590    1234152277214587    2343155287
8776441590    1234157333383618    6747151661
3284471590    1234153237263166    8245154886
3284471590    1234151222445628    6411152775
3284471590    1234153747278826    4786156834
3284471590    1234157147658535    1714153265
3214581590    1234157574184361    1438154423
3214581590    1234156534344122    1245157774
3214581590    1234158183322426    6315151387
3214581590    1234156842884543    6471152782
3555781590    1234151238861821    5638156816
3555781590    1234157723511728    2758155825
3555781590    1234153264821877    1267155447
3555781590    1234153738758888    5431155838
2458461590    1234157328185438    3124155728
2458461590    1234155741212684    1478157535
2458461590    1234154481874172    1887156214
2458461590    1234157571544367    3447153531
1532181590    1234155747835461    2247158761
1532181590    1234154766773173    5661157251
1532181590    1234153382418723    2818153474
1532181590    1234154238477821    6383156532
1162141590    1234151475654866    4342152827
1162141590    1234156865586175    6681153658
1162141590    1234153434372657    3631152676
1162141590    1234156654728866    8142154761
