   箱码            物流码           积分码
4767321590    1234152476338335    2667151531
4767321590    1234155531711761    1726152341
4767321590    1234155638763626    4367156712
4767321590    1234158186885327    6358156814
6648821590    1234155485543661    6523153321
6648821590    1234157113784588    6446153358
6648821590    1234152875751414    8133154732
6648821590    1234152441262636    3723154413
8432681590    1234154457255238    2847158876
8432681590    1234158357658477    3668158374
8432681590    1234154614778881    8481158732
8432681590    1234154817221518    4583153466
2115221590    1234152884717326    5686156771
2115221590    1234156357136525    5457153474
2115221590    1234152747365443    5672155746
2115221590    1234156774342488    3571151462
8375371590    1234155444528768    8228154541
8375371590    1234151337771165    4867158831
8375371590    1234153175466514    6248156213
8375371590    1234157856764412    5151152221
6411821590    1234158242146221    8156155437
6411821590    1234153528433326    8234153272
6411821590    1234152487715238    6618152723
6411821590    1234155141646367    2845155165
8178171590    1234155583541448    8672153467
8178171590    1234154748327748    8365154727
8178171590    1234155652243855    4284153367
8178171590    1234158573574726    8631154722
2527371590    1234152734628734    2115151676
2527371590    1234155211325881    2813157112
2527371590    1234154445653366    6428156627
2527371590    1234156357745231    5868153515
7176441590    1234156124871583    6855151763
7176441590    1234156652813581    1852157523
7176441590    1234154776773836    4276157877
7176441590    1234155884885587    6321156278
2543111590    1234157174543764    3566157821
2543111590    1234152244832564    4855156381
2543111590    1234156766741735    3872153365
2543111590    1234152674218744    3154151663
8734361590    1234154246318667    2852152838
8734361590    1234154334714167    8712154527
8734361590    1234154428876414    7538153681
8734361590    1234155265777723    5377154377
5512381590    1234157814684122    1314153651
5512381590    1234152113531278    7551154638
5512381590    1234151436835835    4712153116
5512381590    1234154333333633    5867151633
7127141590    1234152544485553    5553158527
7127141590    1234158678666481    7252158858
7127141590    1234152563587141    5123155786
7127141590    1234154818864363    7746155656
2828441590    1234158866145835    6352151135
2828441590    1234156237724835    7425154418
2828441590    1234157716166766    3417153514
2828441590    1234157572686378    3368154784
2421171590    1234156838511143    4828154851
2421171590    1234155142824617    8873158466
2421171590    1234157784428635    5681156883
2421171590    1234158828411571    7741153438
8764441590    1234156728431576    6868157731
8764441590    1234151152117528    5462153515
8764441590    1234155151884616    7683157428
8764441590    1234158812655473    8168155524
5818581590    1234151541783283    1277157516
5818581590    1234156473257725    6725152863
5818581590    1234157711446747    5334154874
5818581590    1234157836648484    7332156576
6584781590    1234157412456777    8176151717
6584781590    1234155863312471    4155158576
6584781590    1234157253248875    1726156123
6584781590    1234156485668758    3237157888
8434421590    1234156416811677    8364155422
8434421590    1234157625123828    5322154418
8434421590    1234152155577322    2284155212
8434421590    1234158551181554    1582153553
1433831590    1234151774742583    8237153713
1433831590    1234151418185374    6246153425
1433831590    1234154855166828    7762158282
1433831590    1234155141145377    8321156652
6447411590    1234153846541256    6141156412
6447411590    1234158266768282    1457153487
6447411590    1234151736438411    7847151125
6447411590    1234156421723316    7178157674
6154441590    1234154322361872    6837155335
6154441590    1234155626724568    3865158642
6154441590    1234153324176245    2331155721
6154441590    1234155148611237    5384151137
2718271590    1234153736883766    6246158887
2718271590    1234154358681854    4243155451
2718271590    1234156275633166    2764154111
2718271590    1234155352152766    2768158338
6716211590    1234154715434826    1585156526
6716211590    1234152113211157    3575157872
6716211590    1234156384176382    6335156167
6716211590    1234151838726356    6437158478
1562121590    1234155538282673    1714157884
1562121590    1234155164113333    1738155246
1562121590    1234152148137133    8767155358
1562121590    1234158874336163    2144157161
6325411590    1234157226587544    5735157285
6325411590    1234154843371544    7123158563
6325411590    1234151376572425    5641153174
6325411590    1234157888424732    2624151288
4144741590    1234153815674232    3518151853
4144741590    1234157721478788    3217157245
4144741590    1234156853626342    2162155838
4144741590    1234157457635731    7741157381
8181561590    1234154264326631    5853152212
8181561590    1234153754817655    5538156631
8181561590    1234152872786264    3347155536
8181561590    1234158172327731    8835153752
8517561590    1234151385324253    8345152436
8517561590    1234153568247778    3868156717
8517561590    1234154133576216    4438156115
8517561590    1234157655485434    8184158831
4417721590    1234153276587588    7568154111
4417721590    1234158656312421    5425154752
4417721590    1234155472176418    8786158818
4417721590    1234157513457384    4632151424
