   箱码            物流码           积分码
3882681541    9006153766356778    7274154582
3882681541    9006151831115585    6175156113
3882681541    9006157742324565    8365152622
3882681541    9006156725813856    1224156733
3882681541    9006157511413588    6274157156
3882681541    9006154767715284    4322155287
4432241541    9006158622454633    7423152853
4432241541    9006158588376274    2525156483
4432241541    9006154167136325    6485152242
4432241541    9006154466158233    3162155467
4432241541    9006155547212868    7611154868
4432241541    9006152864765515    7484157713
4773811541    9006156218715422    2481153681
4773811541    9006158118364534    1226158515
4773811541    9006158444115871    4168158861
4773811541    9006156515155576    5224154636
4773811541    9006151635875828    7855155583
4773811541    9006158462331765    1377151756
6335751541    9006156523425882    1458155811
6335751541    9006157246313547    1222153173
6335751541    9006157682651584    5588154536
6335751541    9006157442642262    4888153637
6335751541    9006153551445712    7268158217
6335751541    9006154222324525    2437152117
6628311541    9006155343136451    7253153612
6628311541    9006152227875453    8878155328
6628311541    9006154132678345    2525151387
6628311541    9006153471633265    2785155771
6628311541    9006155747738463    7382154732
6628311541    9006154263385861    3775153114
