   箱码            物流码           积分码
6174211590    1234154261623586    4842151626
6174211590    1234158654288844    5437156177
6174211590    1234152142478825    1232158524
6174211590    1234153875611243    6233151171
6341751590    1234152134352766    2556157541
6341751590    1234156556653844    1537151477
6341751590    1234153413872483    4678157867
6341751590    1234154663878576    3416157617
6642231590    1234155236365712    5341155573
6642231590    1234151214576351    8162157561
6642231590    1234157262566123    8186153215
6642231590    1234155652186142    3858157646
7322231590    1234157621171284    1864156145
7322231590    1234153127855367    3833153457
7322231590    1234158238251864    3216153742
7322231590    1234151277534751    7367153765
8258771590    1234153465844817    1774154642
8258771590    1234158777441763    1832156741
8258771590    1234155563452151    4714156634
8258771590    1234155175242443    4738154243
4447431590    1234154245277133    2661156243
4447431590    1234155716274316    6512156423
4447431590    1234157612833642    7751151742
4447431590    1234157731145434    1354154465
1366721590    1234156665186112    4145155731
1366721590    1234153763564228    8233155747
1366721590    1234157643678843    6262154411
1366721590    1234152715264751    5274157136
8786581590    1234155545321664    3164153511
8786581590    1234151422426286    2533156414
8786581590    1234158467311518    5328154363
8786581590    1234156462386652    1684154222
1767571590    1234157727277446    7564154262
1767571590    1234154886355763    4674158445
1767571590    1234157146757876    2413151241
1767571590    1234155773245756    2873153868
1863481590    1234156583185843    7155154757
1863481590    1234158654624275    8886155423
1863481590    1234154566285873    6622152573
1863481590    1234155283627323    1515154547
3176761590    1234157622615254    8717155611
3176761590    1234154877752224    8646153662
3176761590    1234153763253563    7143154473
3176761590    1234157287277255    2525155635
7421861590    1234155612385653    8417155548
7421861590    1234152145224724    8362152451
7421861590    1234154566866122    6378154888
7421861590    1234157477432867    4618155621
8175511590    1234152542318734    5332157187
8175511590    1234154211633185    5882151231
8175511590    1234158551632262    7214157638
8175511590    1234157283375323    2587152186
4313311590    1234151261828438    5815154165
4313311590    1234157852474678    5753154312
4313311590    1234156611225237    4664153545
4313311590    1234158684724683    8533154458
2461531590    1234154518215725    1176153682
2461531590    1234151314788833    2242155171
2461531590    1234154135718675    2547158241
2461531590    1234154644688128    4341158726
1418811590    1234152788864535    8814151268
1418811590    1234152484536441    3415151556
1418811590    1234153777671481    6135152111
1418811590    1234155231565717    3173155512
7377231590    1234156857573446    2786156234
7377231590    1234155536431161    7342156263
7377231590    1234151415373855    8755155858
7377231590    1234156611534511    8443156764
3843731590    1234152612542742    7447153871
3843731590    1234153314334368    4734151677
3843731590    1234154657271714    7568152188
3843731590    1234156855373118    4454156613
8242611590    1234152772718538    3522156842
8242611590    1234151436273467    8181152335
8242611590    1234156112385466    3452154471
8242611590    1234158667261536    6824158475
7141451590    1234157466247638    4416151851
7141451590    1234157137566672    2664156278
7141451590    1234153236213256    6886154543
7141451590    1234157638628545    5838155428
8268361590    1234155675425685    2474151237
8268361590    1234156463188781    2772153835
8268361590    1234156613234825    2118153577
8268361590    1234156686182852    2312158646
5653641590    1234152568853317    2464158715
5653641590    1234153165367326    3735156144
5653641590    1234155785636851    4521153467
5653641590    1234152121744176    6611151742
4318331590    1234158241885553    2251155753
4318331590    1234155372642131    3335154841
4318331590    1234155271522384    3158157645
4318331590    1234156482855415    1861151215
5181421590    1234158335344534    5438155728
5181421590    1234158524651857    7778153684
5181421590    1234154874828418    8522156828
5181421590    1234155511762558    5834156655
1627121590    1234156134346421    1216154385
1627121590    1234151323854328    6327158473
1627121590    1234154124863343    2721153213
1627121590    1234151476125351    5445153467
2565651590    1234158266375357    8426153156
2565651590    1234151413621214    3455154252
2565651590    1234152662132365    3866155417
2565651590    1234156541221222    1351158328
5283621590    1234158414278644    4818157567
5283621590    1234158141541766    3751157268
5283621590    1234154266123622    4613152213
5283621590    1234156687668128    4485152872
8514381590    1234156873577762    3155154324
8514381590    1234155773865375    3441158574
8514381590    1234155233365176    5811155373
8514381590    1234154467681434    5558152452
8624361590    1234153887614212    3578153283
8624361590    1234153871166743    1341152142
8624361590    1234154445547548    8482153516
8624361590    1234152813144376    8832151768
3331251590    1234152445735684    2366157227
3331251590    1234153525628625    3388158315
3331251590    1234151515275416    5378158611
3331251590    1234156883345225    1578151352
