   箱码            物流码           积分码
1786741542    9007157164124288    5244155445
1786741542    9007154661824573    3442157442
1786741542    9007153227816114    4887154374
1786741542    9007153445523253    6772152335
1786741542    9007158246838525    4631154167
1786741542    9007158441717213    6727156157
1823881542    9007151871627851    8468153752
1823881542    9007152376863463    8682156122
1823881542    9007154522188784    1255153887
1823881542    9007158771562454    3684154583
1823881542    9007151711622418    8742152765
1823881542    9007156436538511    8133155566
3167841542    9007158533871724    8831154178
3167841542    9007153543654318    4816154165
3167841542    9007156838844868    1366153536
3167841542    9007157278721387    3225153788
3167841542    9007153183741481    2413153427
3167841542    9007155527575322    5784156546
6174361542    9007152623754185    6612156447
6174361542    9007152678415683    6456154742
6174361542    9007154738444342    6353156774
6174361542    9007156115261553    4455151763
6174361542    9007156455777874    6653153556
6174361542    9007156848858415    4575154823
8525221542    9007152522245741    7333151754
8525221542    9007154238244131    5185151777
8525221542    9007158248152583    6742155538
8525221542    9007152583324144    1114151665
8525221542    9007152611168315    3623152632
8525221542    9007156655876623    4847151433
