   箱码            物流码           积分码
1111881591    9001152188355721    3487152125
1111881591    9001151884734653    1411157141
1111881591    9001152224648876    6837153878
1111881591    9001153825484466    8782153618
1111881591    9001155216667566    2387154788
1111881591    9001153626777273    3755155818
2374141591    9001158671345638    8354151741
2374141591    9001151723866431    8755152526
2374141591    9001156283184574    4168158284
2374141591    9001158454354111    2255157847
2374141591    9001151374816386    3612157367
2374141591    9001158887214635    1524157747
2833681591    9001157661273568    1438158615
2833681591    9001157764551521    3382156774
2833681591    9001154123833568    6862151884
2833681591    9001154147116721    1363157885
2833681591    9001157583252442    7846155221
2833681591    9001151825347866    8674155431
3667681591    9001153571566753    8278153622
3667681591    9001158168832465    5638154772
3667681591    9001157552381164    3583151124
3667681591    9001157418352167    5877153852
3667681591    9001155686753554    2732152233
3667681591    9001156177848861    1454155112
5885781591    9001151812363642    5387153223
5885781591    9001155114175561    4787157667
5885781591    9001158315714335    3663156355
5885781591    9001154137816528    3288155775
5885781591    9001151458214876    6475153514
5885781591    9001155227487315    5877151682
