   箱码            物流码           积分码
1386681591    1234158828172828    1815155314
1386681591    1234156167628252    8666154134
1386681591    1234158836126522    1515158368
1386681591    1234157586826866    7238153386
1386681591    1234158146368234    3434157266
1386681591    1234152487475364    5838153372
2455331591    1234158871742454    3827153856
2455331591    1234153564517721    7442158343
2455331591    1234152267651588    1352151528
2455331591    1234151547834338    1865152485
2455331591    1234156326562443    4634156225
2455331591    1234153527771434    2631153227
3223231591    1234156347326441    5654151716
3223231591    1234158167428123    3567156225
3223231591    1234157648726741    2262153363
3223231591    1234155168333523    2383151176
3223231591    1234151776157654    2124154871
3223231591    1234158721416867    7273155731
3823341591    1234151325675143    8276154665
3823341591    1234158715852474    2755158687
3823341591    1234154812278587    6257157865
3823341591    1234152858128244    7545153833
3823341591    1234158367855254    6227155333
3823341591    1234154345627723    5758158448
4842581591    1234153828753467    1363156226
4842581591    1234158846628176    2683152288
4842581591    1234151547857488    1312157833
4842581591    1234156646124847    8361154843
4842581591    1234158451341455    5388151111
4842581591    1234155475437323    6337155517
6175361591    1234154718654635    5475158224
6175361591    1234152217831851    2462151684
6175361591    1234152222332421    8726152516
6175361591    1234156812131675    6782156426
6175361591    1234152512584363    3687152836
6175361591    1234155758811766    2764155536
7257851591    1234154757765411    1257155217
7257851591    1234151333656162    6545153441
7257851591    1234156572783876    1853158571
7257851591    1234153841414558    2224157216
7257851591    1234156536452858    5628158563
7257851591    1234157132545862    6156152717
8156131591    1234156732713421    3572151347
8156131591    1234151621524133    3381156176
8156131591    1234158665782111    1451158167
8156131591    1234155386356783    5737151325
8156131591    1234157452378661    2842154647
8156131591    1234153655388162    5212158347
8653521591    1234156826172878    4584155252
8653521591    1234154686678366    7863158218
8653521591    1234156447373448    5425151456
8653521591    1234158327644462    7127152346
8653521591    1234155255617537    7241154554
8653521591    1234155247838553    6642153762
8754841591    1234156112353774    2384158344
8754841591    1234156855443155    4637154255
8754841591    1234157844855442    6332151538
8754841591    1234158882217881    4571157817
8754841591    1234155888461225    7512154872
8754841591    1234156782837687    6746156862
