   箱码            物流码           积分码
3773671529    9020156733778186    7368153663
3773671529    9020155717775118    8421155446
3773671529    9020153885627214    7174158752
3773671529    9020156674167584    1817152415
3773671529    9020157857545374    3417151136
3773671529    9020157481128415    8656156465
5586371529    9020152278252555    8857156113
5586371529    9020154442746445    6784151768
5586371529    9020157686366647    4518157376
5586371529    9020156225164157    5551157452
5586371529    9020156321416278    1675151234
5586371529    9020155755738282    8828158445
6147171529    9020156263485286    8873157411
6147171529    9020158827777642    4571155448
6147171529    9020155143671216    1181152466
6147171529    9020155813883572    8323151263
6147171529    9020151284655372    4158158882
6147171529    9020158747432776    6863153282
6166111529    9020151562534666    3178155335
6166111529    9020155326737433    7658151642
6166111529    9020156131871745    6234152631
6166111529    9020156458878522    2484158843
6166111529    9020153228873883    2321151488
6166111529    9020154222662417    3512157475
7287421529    9020154474887844    7833154785
7287421529    9020156431631888    8135154218
7287421529    9020153385846545    4834153421
7287421529    9020152141525836    6128151653
7287421529    9020157476474237    8653156651
7287421529    9020158525355658    2622154625
