   箱码            物流码           积分码
2353161590    1234151725336858    1828151537
2353161590    1234158465764646    1142155225
2353161590    1234154377871143    5382152565
2353161590    1234155342477267    7247158865
2253751590    1234155241347478    4562155561
2253751590    1234158485474658    3835151245
2253751590    1234157638887524    1258151682
2253751590    1234158132165456    6633157113
8161881590    1234157662846256    6425155633
8161881590    1234155528226318    4388156372
8161881590    1234158368716312    2373151278
8161881590    1234151421815361    6236153455
8768851590    1234156363776828    3634155714
8768851590    1234156777672731    6112155842
8768851590    1234154323751588    3185155311
8768851590    1234157217371185    4348154346
3226881590    1234158223561877    4671155185
3226881590    1234155781245471    4435158477
3226881590    1234153166766528    8763151377
3226881590    1234152257818357    3561153585
3682781590    1234157654481817    2368151264
3682781590    1234156434638227    6221152812
3682781590    1234151747714531    8584152461
3682781590    1234156121761257    8534157511
3524581590    1234156364361727    5145157165
3524581590    1234154234521223    7817156533
3524581590    1234157647284351    2214151821
3524581590    1234157683728263    1161151871
7766431590    1234154885176178    6127157635
7766431590    1234158714211387    8336156626
7766431590    1234153475684885    2654158122
7766431590    1234158377335761    3253158234
5654731590    1234157816231166    4337153853
5654731590    1234151335853238    5342154151
5654731590    1234152375811886    6331151717
5654731590    1234156224372423    4471156588
4444361590    1234153323135147    4771155321
4444361590    1234155213261155    6422155227
4444361590    1234154327785153    3276152844
4444361590    1234157476566855    2476156246
4263681590    1234156621213415    2138151413
4263681590    1234151136578763    6772158576
4263681590    1234157685258157    6814155842
4263681590    1234154785542612    3277156163
5372461590    1234151221512216    1215158615
5372461590    1234157154641714    7585152864
5372461590    1234151164387144    6764156724
5372461590    1234158546662384    4588156524
5283441590    1234152865818868    4837154381
5283441590    1234155254238616    8321157647
5283441590    1234151422755538    7461152353
5283441590    1234158258743522    2183153813
1813141590    1234156454258163    1364152443
1813141590    1234153434275662    3452153532
1813141590    1234158447172887    2765157224
1813141590    1234158761283643    8813152687
5282841590    1234158361264434    7146151118
5282841590    1234155665354731    3683156388
5282841590    1234157766244827    3611158616
5282841590    1234158177365436    4314155328
5413341590    1234154742135282    3787157687
5413341590    1234153374248667    1352156113
5413341590    1234151683282735    1728156344
5413341590    1234157827664337    7472153715
8611661590    1234156348646462    7554152468
8611661590    1234153855774133    1124151832
8611661590    1234153183838423    2653154115
8611661590    1234152647648114    1542155225
4556871590    1234151545642381    2613155223
4556871590    1234157138462637    1727158216
4556871590    1234151246315288    8423151552
4556871590    1234153874757585    8334157135
3154511590    1234155748682218    5178152716
3154511590    1234156871613142    3514158138
3154511590    1234155318124512    8642155714
3154511590    1234158228676633    8625152755
5524441590    1234154274882143    7224151144
5524441590    1234156151628761    3535151543
5524441590    1234152875166231    8618155546
5524441590    1234154616437537    2645155526
5726381590    1234156161577278    4778154315
5726381590    1234151514765387    3261155745
5726381590    1234154824467276    4471151564
5726381590    1234152812161324    3866157577
3173221590    1234152228167424    1868152436
3173221590    1234156454432747    2685155686
3173221590    1234155825511857    1224156653
3173221590    1234157886415822    5476152562
1687141590    1234153827545281    8567158352
1687141590    1234158584344178    2884154131
1687141590    1234155212856413    2876156844
1687141590    1234155317816276    3754154732
6672781590    1234157162732864    5371153323
6672781590    1234157153251473    1383151867
6672781590    1234153671576634    1348157264
6672781590    1234151787287465    3268155465
5683331590    1234154582157882    6357156236
5683331590    1234153557453688    4161157557
5683331590    1234154661762181    1424156861
5683331590    1234153716131616    5852155784
2871851590    1234151877334383    1878156658
2871851590    1234158328186235    8437152624
2871851590    1234155333714726    8284152816
2871851590    1234153132322312    7365152155
3642631590    1234154181367337    5114155167
3642631590    1234152768178642    8227157162
3642631590    1234157414668185    6241155751
3642631590    1234153584322856    5114151474
2562331590    1234155124237724    1727153165
2562331590    1234155865688754    7481158636
2562331590    1234151633442747    5263151367
2562331590    1234156626825254    1633156471
5675751590    1234151362261477    6371157132
5675751590    1234156434236582    8472155651
5675751590    1234157225466881    3167156251
5675751590    1234154488151718    1684155446
4383781590    1234155864875113    1176153264
4383781590    1234157461252733    2267157724
4383781590    1234155712852613    5147156846
4383781590    1234153435838151    8582152614
