   箱码            物流码           积分码
2277281534    9080153463325515    8737155665
2277281534    9080153525745115    3713151462
2277281534    9080158748288866    8473154165
2277281534    9080157687788363    7653152814
2277281534    9080156237377884    2886153657
2277281534    9080152751728143    7146155878
2545631534    9080157884724443    4386152654
2545631534    9080157314217778    7413151532
2545631534    9080151865373417    4154153372
2545631534    9080156132651675    5727155257
2545631534    9080156367665277    6881152846
2545631534    9080151175464135    1618153716
2721441534    9080152482734227    5282151633
2721441534    9080153253733842    7221155432
2721441534    9080151735831821    1581156162
2721441534    9080155518382252    1163157455
2721441534    9080152254846635    1156157633
2721441534    9080153362447665    3576157517
4761721534    9080158372127677    5515156723
4761721534    9080153782686753    1241158815
4761721534    9080152211443377    8714153778
4761721534    9080155687227662    7637154384
4761721534    9080152863468863    5325156336
4761721534    9080154632854615    5363157744
4846531534    9080155716325513    7447152846
4846531534    9080154458142872    5251152714
4846531534    9080155452383758    5673152277
4846531534    9080155247662118    2243157277
4846531534    9080153482156381    1718152318
4846531534    9080154553784564    5783155885
