   箱码            物流码           积分码
1836331543    9008151515622322    8837157465
1836331543    9008152461135621    6651152152
1836331543    9008156766375748    5655157538
1836331543    9008157778736683    4672158184
1836331543    9008153673423618    8657151358
1836331543    9008156525163466    8287154675
4176111543    9008153538785527    7614158375
4176111543    9008155748665763    8642155622
4176111543    9008157874418381    7468153736
4176111543    9008155484436664    6725156276
4176111543    9008155826456585    2147154331
4176111543    9008158555154628    4686154574
5781881543    9008155375323612    8333154361
5781881543    9008155154414817    5554156731
5781881543    9008151276334776    3451152181
5781881543    9008156482156742    4583152321
5781881543    9008152875375745    1855155731
5781881543    9008155864543683    1858158141
6442561543    9008158178245527    6356154274
6442561543    9008155462254666    6466156142
6442561543    9008151744338635    7146151116
6442561543    9008155617375311    8268156677
6442561543    9008151474723383    1533158328
6442561543    9008151421151787    3758151278
7753831543    9008155568146386    1334157828
7753831543    9008152574428157    6762156584
7753831543    9008156664451412    7467152825
7753831543    9008153826172118    7178154516
7753831543    9008151843652267    7478151163
7753831543    9008158367847141    8864158545
