   箱码            物流码           积分码
2832651594    9004158377415154    8877152244
2832651594    9004155233565561    4635158117
2832651594    9004153277416644    6256158342
2832651594    9004156866614622    3566156416
2832651594    9004152652277226    3773153117
2832651594    9004151567383178    3187156118
3343741594    9004152585471864    2484158814
3343741594    9004156168517226    6216154133
3343741594    9004158537558641    8626157232
3343741594    9004154653128378    3613157868
3343741594    9004155254342178    5318154168
3343741594    9004157414155247    5283154264
3536181594    9004154475667243    2756152521
3536181594    9004154131627213    7225156842
3536181594    9004153647155622    2887152651
3536181594    9004151261648416    1644153771
3536181594    9004156543864847    1386153844
3536181594    9004156334253637    8872153758
6774171594    9004156235353823    3883152248
6774171594    9004158637548372    2435151726
6774171594    9004158125787652    2142155831
6774171594    9004157123228641    1181155753
6774171594    9004158637774448    7636154165
6774171594    9004152251844657    3281157374
8324371594    9004158862131328    3226152278
8324371594    9004152451246338    7566158248
8324371594    9004157536288625    1478151788
8324371594    9004154444335623    1488156451
8324371594    9004153834452413    7285154443
8324371594    9004157224435645    6557158754
