   箱码            物流码           积分码
1143451519    9010153267266532    4751152787
1143451519    9010155281522247    7786152323
1143451519    9010158125752714    6555153881
1143451519    9010152238765747    3621153513
1143451519    9010156556832516    2325153437
1143451519    9010153743352745    4642153528
5642471519    9010155178327584    6687151538
5642471519    9010155842333743    7865155823
5642471519    9010152138832225    5412154214
5642471519    9010158648386542    6452154836
5642471519    9010152735246533    5572152875
5642471519    9010154237676238    3121151835
6122651519    9010157218535231    4663155676
6122651519    9010152427321243    2787156633
6122651519    9010158225886156    6856158846
6122651519    9010151544735486    1874156153
6122651519    9010155464664343    4552158561
6122651519    9010151816852828    2417157525
6137641519    9010151223678324    5281154687
6137641519    9010156681611482    5576153353
6137641519    9010153747477223    2843156178
6137641519    9010155213885145    6722157124
6137641519    9010152427658681    1412157834
6137641519    9010156567558378    2885157478
7315531519    9010158583831562    8482156772
7315531519    9010153581717588    4855152366
7315531519    9010152113622745    7846158215
7315531519    9010154336481883    3768151481
7315531519    9010156357387768    1478152742
7315531519    9010156835316424    3865156258
