   箱码            物流码           积分码
1645711549    9040151173622211    8523158644
1645711549    9040157313714313    4686154571
1645711549    9040157288551658    2875153338
1645711549    9040158544318485    7761156152
1645711549    9040151475667447    8862155712
1645711549    9040153186674814    6521155627
2234581549    9040157563227652    1847153632
2234581549    9040155146373115    2437152813
2234581549    9040151756831211    4737155242
2234581549    9040154554725675    3542154138
2234581549    9040155566573151    3743155851
2234581549    9040154743452621    1361155448
3438661549    9040155746537382    3125158331
3438661549    9040152561647753    4312155363
3438661549    9040158248677778    7362154187
3438661549    9040158875437772    3757155342
3438661549    9040157388365563    7682151732
3438661549    9040156634658713    3878158456
3465431549    9040157557815635    5534157385
3465431549    9040154432128866    2674151414
3465431549    9040153418478853    4688158356
3465431549    9040158454673164    3818153511
3465431549    9040151258755853    3817152528
3465431549    9040151758753646    3353154122
5668711549    9040152446652685    6162158645
5668711549    9040155571576338    6538153482
5668711549    9040157161851643    7848154277
5668711549    9040155871564156    5624154482
5668711549    9040154432275852    4736157551
5668711549    9040151875383812    4116156461
