   箱码            物流码           积分码
3873581592    9002152631245135    3427153342
3873581592    9002157773521363    3458156276
3873581592    9002155236745352    3832158258
3873581592    9002151282347116    7133158428
3873581592    9002156746638584    2626157688
3873581592    9002157412232582    4726154885
5218131592    9002158435563855    3788157711
5218131592    9002151143735818    4321157551
5218131592    9002155722826171    5523158378
5218131592    9002153813556768    7436156486
5218131592    9002154787577731    4332158787
5218131592    9002153863162236    4782153211
6282511592    9002155726123655    2676156172
6282511592    9002153464765517    4444154365
6282511592    9002154835835128    7482154781
6282511592    9002152447782663    8122158816
6282511592    9002153337112244    3545154635
6282511592    9002157385573676    7552156873
7138581592    9002156538174565    1711155618
7138581592    9002152362266114    1828157282
7138581592    9002156756768533    6357151713
7138581592    9002151526214647    3216155185
7138581592    9002156465854714    3635153146
7138581592    9002154871153836    6887153345
7548581592    9002154774586615    2188155651
7548581592    9002152127677272    4877156655
7548581592    9002154888725558    2282158676
7548581592    9002151366556734    1456156281
7548581592    9002152337831712    2842152374
7548581592    9002154557565761    3816155148
