   箱码            物流码           积分码
1121611509    1234158645556314    4884156488
1121611509    1234154147123712    5237154235
1121611509    1234152778412188    2573156816
1121611509    1234158465754218    3338152742
1121611509    1234156846144546    5617154461
1121611509    1234151571226236    1436152717
1631651509    1234154753428684    1851154241
1631651509    1234154744465354    5172153451
1631651509    1234153318463727    8852151151
1631651509    1234152775187865    8211156464
1631651509    1234152183611545    3578152878
1631651509    1234155442516641    6214157472
1643231509    1234153737542737    7574153712
1643231509    1234151317113181    1542155565
1643231509    1234158276817658    3242153136
1643231509    1234158383146577    2851158846
1643231509    1234155482556636    1334157884
1643231509    1234152684156664    5178152541
3562341509    1234153781463735    7447153615
3562341509    1234154467761135    5116152656
3562341509    1234155547642555    8122152482
3562341509    1234154116287175    7673153133
3562341509    1234155846175385    4451153167
3562341509    1234155333758452    7543153885
7641541509    1234157843253487    3613151887
7641541509    1234151645155556    6836158621
7641541509    1234154837642548    5565157634
7641541509    1234155245151233    8526152835
7641541509    1234152754276555    2716153782
7641541509    1234157748138424    2876158621
8822561509    1234154843572663    4572156761
8822561509    1234153154844517    5252157871
8822561509    1234152463186232    4214154143
8822561509    1234153665881362    7125152665
8822561509    1234154547745255    8484156324
8822561509    1234153288848236    7658158617
