   箱码            物流码           积分码
2212581590    9005152858884357    6825155248
2212581590    9005154364811814    1212151321
2212581590    9005152885376883    8883151538
2212581590    9005157382666553    2631157187
2212581590    9005153338825613    7828151277
2212581590    9005158563653125    2282157125
2387851590    9005154315532653    3678151636
2387851590    9005158321311421    6116154883
2387851590    9005158785115731    4153156627
2387851590    9005157752834636    8817154874
2387851590    9005155854124423    8472152183
2387851590    9005151665586615    1766152826
3474241590    9005158661856466    4322152567
3474241590    9005155714215158    7647155465
3474241590    9005155545751637    3573154178
3474241590    9005151724787327    6338158784
3474241590    9005152124613237    1356155711
3474241590    9005154235815363    5782158622
6334661590    9005151217188117    2265153365
6334661590    9005155564132118    3865152457
6334661590    9005154411345158    7731151453
6334661590    9005156455821632    8552157155
6334661590    9005153686664114    6127158256
6334661590    9005154487676556    6184155518
8815161590    9005155878664727    7846157227
8815161590    9005153727153721    1453154672
8815161590    9005158468862182    3845158627
8815161590    9005156727145257    4643151381
8815161590    9005157251883121    5246151558
8815161590    9005153866277715    6418154464
