   箱码            物流码           积分码
6131331590    1234157813243663    8273155681
6131331590    1234154587884341    5212154815
6131331590    1234151353764714    3811153573
6131331590    1234158715248476    6584157738
6131331590    1234154781336725    2557153311
6131331590    1234155227224563    3514155721
6131331590    1234154648147781    5722151685
6131331590    1234157773152226    1127153284
6131331590    1234153812651427    7342157587
6131331590    1234157658215666    8774155564
6131331590    1234154562556235    8656155382
6131331590    1234156253723148    6675154784
6131331590    1234155532263728    6724157481
6131331590    1234151556168633    2744152277
6131331590    1234151381362563    3131151465
6131331590    1234154363565134    7827155616
6131331590    1234157781242744    2654156887
6131331590    1234153745186267    5148156768
6131331590    1234152136814533    2365151374
6131331590    1234154334621753    6732152731
6131331590    1234158558372713    7225154872
6131331590    1234153411618167    5526155388
6131331590    1234156562766771    3725155781
6131331590    1234152826138311    6414155284
6131331590    1234155861544387    8826158345
6131331590    1234154452363258    5173153474
6131331590    1234152381788667    1287156434
6131331590    1234158751783244    7133151453
6131331590    1234153257831652    1844158871
6131331590    1234158433886813    3841154341
6131331590    1234152533257467    5287153128
6131331590    1234158212742432    8278157325
6131331590    1234153232614827    4362154341
6131331590    1234155768826827    1181152873
6131331590    1234151536173288    7723151443
6131331590    1234154237358528    4344154876
6131331590    1234158842851223    1686152235
6131331590    1234156842113827    8266158461
6131331590    1234156442556381    1221158613
6131331590    1234158655774141    4438153827
6131331590    1234153838434226    5842156388
6131331590    1234156676635623    7367156621
6131331590    1234153537237625    4367156414
6131331590    1234152214854121    8818157618
6131331590    1234153618437535    7882152777
6131331590    1234156834424438    2221156642
6131331590    1234157165481663    6615155288
6131331590    1234158374561837    4756158267
6131331590    1234153781748221    4274155151
6131331590    1234158733588685    2713151753
6131331590    1234155585432161    1252151338
6131331590    1234153586217816    5821158468
6131331590    1234151626816554    5666155832
6131331590    1234154662857113    4757155686
6131331590    1234156228482115    2865154253
6131331590    1234157614862338    7253158684
6131331590    1234155148445256    8455151377
6131331590    1234151545218764    8645156116
6131331590    1234154431166553    5322156254
6131331590    1234152773616315    7316154775
6131331590    1234158373635854    2273154853
6131331590    1234156486223347    7476155327
6131331590    1234154411312848    4453154613
6131331590    1234151256844366    1433157852
6131331590    1234156855363313    8448157364
6131331590    1234158125654151    3353154432
6131331590    1234154554683782    5451151856
6131331590    1234153744728468    2487156366
6131331590    1234156757475684    3348154875
6131331590    1234157137783444    3634153111
6131331590    1234155722257316    1633156543
6131331590    1234152775242787    4451156234
6131331590    1234154514274383    4414154136
6131331590    1234156177284152    6134152843
6131331590    1234157682121362    6538157258
6131331590    1234156632211344    1847157434
6131331590    1234152356322784    3326154657
6131331590    1234154316427711    5478154427
6131331590    1234155322517538    7881151526
6131331590    1234155433312353    8517158615
6131331590    1234153451543172    6428152212
6131331590    1234157415367451    7263152127
6131331590    1234156373217857    1884155162
6131331590    1234154116453318    8166151172
6131331590    1234157416675131    6575155254
6131331590    1234155743137762    1278158723
6131331590    1234154783174264    5128153145
6131331590    1234153213438722    7733153542
6131331590    1234156558363764    8512155842
6131331590    1234155426844632    8556156245
6131331590    1234157664154751    6157152271
6131331590    1234153438227856    7335158634
6131331590    1234158235781177    5223151881
6131331590    1234151415447351    5377154145
6131331590    1234151155824316    8622158664
6131331590    1234156685665414    8575156341
6131331590    1234153667837138    6867152255
6131331590    1234158374884476    8144151583
6131331590    1234152878682445    7763155686
6131331590    1234154125548722    5775152682
6131331590    1234154325748785    4347152213
6131331590    1234154724733756    6672158516
6131331590    1234156423751452    5417157732
6131331590    1234151541527718    1233152286
6131331590    1234158571817685    5534152442
6131331590    1234153366234532    7756155438
6131331590    1234152468254181    5268154358
6131331590    1234154328118733    5487151654
6131331590    1234154126437428    4426157758
6131331590    1234156231622147    3326152827
6131331590    1234154532284584    8328156215
6131331590    1234157787766588    2285157287
6131331590    1234152788813384    7271151528
6131331590    1234151516233578    1811155382
6131331590    1234153838432372    6685151716
6131331590    1234151185228268    7886157638
6131331590    1234158466526487    5662156448
6131331590    1234152222632833    4386158335
6131331590    1234155884842768    5468152435
6131331590    1234151662746243    1757154412
