   箱码            物流码           积分码
2147371509    9050156344678514    1854156553
2147371509    9050151431237255    3416155812
2147371509    9050151373463887    4183154533
2147371509    9050158611815578    8671156227
2147371509    9050157486233313    7212155683
2147371509    9050158788134774    5456154862
4456531509    9050153655244258    8281158876
4456531509    9050153358686561    7186154685
4456531509    9050152773644641    2538154461
4456531509    9050155151427437    1227155477
4456531509    9050156574865212    8368156582
4456531509    9050151786713323    1573156575
6767171509    9050158586335444    5883152763
6767171509    9050156115781333    4368158568
6767171509    9050157817776337    1485152762
6767171509    9050156652757728    6213156586
6767171509    9050157427311576    5675154621
6767171509    9050154816517735    2134151111
6774841509    9050151654446723    6517156614
6774841509    9050156761142551    2486155412
6774841509    9050153265377368    8562157354
6774841509    9050153654575286    6234154683
6774841509    9050156545635243    7477152887
6774841509    9050156856317747    7231155877
7145741509    9050157446727738    1145153661
7145741509    9050156724611283    7172151486
7145741509    9050156537288675    1676153274
7145741509    9050158728457134    2562157523
7145741509    9050155271821867    6571153461
7145741509    9050153225525434    6758155617
