   箱码            物流码           积分码
1136611591    1234155332386286    7755158277
1136611591    1234152428122443    1465158435
1136611591    1234155687228257    6822151454
1137161591    1234151866622856    7171151638
1137161591    1234153647522527    1754154814
1137161591    1234154386316216    3431156634
1146131591    1234154453166142    2832156373
1146131591    1234152515237536    2711151731
1146131591    1234154141571628    1845153127
1157681591    1234153851846117    8441152518
1157681591    1234157535664571    3264157261
1157681591    1234155874345621    7313153458
1162431591    1234158332741124    5426156742
1162431591    1234156658447121    4253158214
1162431591    1234158178177686    4517155424
1174141591    1234157267165155    1338158252
1174141591    1234158782864631    3884156355
1174141591    1234152135515414    6284156547
1185861591    1234154158646366    8827154433
1185861591    1234155764257724    8841158437
1185861591    1234154228423613    5343151686
1232711591    1234152285161252    3755158456
1232711591    1234158765827662    3421158763
1232711591    1234152636863835    3568151132
1263731591    1234157616852765    6846156746
1263731591    1234154378552788    1472154141
1263731591    1234153266275128    4213155263
1277611591    1234155758214343    5136153714
1277611591    1234152353654566    6677157485
1277611591    1234151757451324    6777156641
1333531591    1234151185438336    3321156346
1333531591    1234154642421677    8848154243
1333531591    1234155676451862    8511151534
1374711591    1234155141633744    6514153862
1374711591    1234154446415723    6157155455
1374711591    1234153817576731    3224153225
1457711591    1234151548675536    3136156537
1457711591    1234158767753318    6666158712
1457711591    1234153725668524    2558153588
1462261591    1234153574343217    2212158377
1462261591    1234153677855484    6338153572
1462261591    1234158356523612    7865155365
1478751591    1234154457628414    6622155758
1478751591    1234152156781772    7883151282
1478751591    1234156441587512    8754157148
1572861591    1234151125758344    1713153383
1572861591    1234156674125472    2843157142
1572861591    1234152351782886    7621152558
1583361591    1234157184631366    6482151538
1583361591    1234154672577253    5784153228
1583361591    1234151758657226    5227157342
1655411591    1234158813883573    5668155647
1655411591    1234156353352418    2757153113
1655411591    1234155565144348    1768154375
1733711591    1234155715278113    3355157824
1733711591    1234153435721334    3137155146
1733711591    1234155483688576    2862156822
2118311591    1234157662255476    5415156576
2118311591    1234152147166754    2155151218
2118311591    1234155265564212    1637154621
2146351591    1234152861164678    1311158115
2146351591    1234157135236218    6861152368
2146351591    1234156611788825    6251158421
2222581591    1234153244758258    5638154763
2222581591    1234157367474125    2326151136
2222581591    1234154585858272    6426153233
2243881591    1234153847442723    8333154672
2243881591    1234154852882548    5416153676
2243881591    1234157541262518    7147151835
2257821591    1234152125271123    3446153567
2257821591    1234158766116687    4851156828
2257821591    1234153775164788    4625158867
2287851591    1234154564345184    1566158285
