   箱码            物流码           积分码
4113141514    9060154246663768    8558153717
4113141514    9060158781876351    7571156257
4113141514    9060153285135714    2111158436
4113141514    9060157753884711    2862158115
4113141514    9060152267461745    1263158571
4113141514    9060156763514154    4272155736
4175171514    9060154321844274    6553157578
4175171514    9060158785835372    6864156363
4175171514    9060158121642336    3731152758
4175171514    9060154773518612    7333155474
4175171514    9060156336331653    6786157458
4175171514    9060156424668585    8763157311
4364571514    9060153262128245    3514158558
4364571514    9060154685653857    2558151178
4364571514    9060156787113372    6147153686
4364571514    9060152578547443    7564156628
4364571514    9060154652651767    7287153785
4364571514    9060154847124743    2276154586
6115831514    9060156377717134    3446156366
6115831514    9060153285446181    1542157146
6115831514    9060154848155572    2114155572
6115831514    9060156315842838    4562153525
6115831514    9060154182448713    8848157857
6115831514    9060155782583122    6114155127
7365741514    9060157474835751    8438156218
7365741514    9060152532432551    8833151378
7365741514    9060158658824661    7724154826
7365741514    9060151731188542    5548156137
7365741514    9060155717547333    4514154365
7365741514    9060154682138351    2547154881
