   箱码            物流码           积分码
7121881590    1234152337443151    7425153255
7121881590    1234153262863645    2458157673
7121881590    1234152176674763    4124151411
7121881590    1234152423618234    7313154261
6422471590    1234155784563632    4666158374
6422471590    1234151747383356    7442157861
6422471590    1234153221135275    1314158248
6422471590    1234155458511546    8351151732
3427251590    1234157686514666    5718158378
3427251590    1234153487475876    4543157436
3427251590    1234153745234245    1333154825
3427251590    1234158561162143    4214153633
6761631590    1234151313857764    8655152178
6761631590    1234156836165542    5451154738
6761631590    1234158364385248    2718153422
6761631590    1234158522574565    7134151224
2385171590    1234155824524287    4787158533
2385171590    1234156625525822    7457152524
2385171590    1234152157483324    3333154781
2385171590    1234154347186238    3153155584
6164211590    1234153821361633    1152155713
6164211590    1234157254442443    6422156367
6164211590    1234155173577787    7278156766
6164211590    1234158388143316    6182151627
5514471590    1234153625377632    6448155436
5514471590    1234157165716683    7627151357
5514471590    1234154147473785    3848158257
5514471590    1234153146273175    6257153131
8418861590    1234154254816611    5164154526
8418861590    1234156226218532    5762152788
8418861590    1234154221268727    3576158545
8418861590    1234154612463844    8377156532
7528171590    1234153851862568    7368156282
7528171590    1234154881436473    5716157253
7528171590    1234156437141181    3328157175
7528171590    1234151867217737    5583152557
7745461590    1234153886526158    7285156683
7745461590    1234156873723553    4331151352
7745461590    1234156521666826    4735155832
7745461590    1234156827256767    8665158765
4177611590    1234155226751724    6142155736
4177611590    1234154757634626    7778156311
4177611590    1234153676113453    2187152783
4177611590    1234155753268723    3485153848
6748741590    1234158274371273    1734152721
6748741590    1234153622187218    5524153664
6748741590    1234151453726138    2711158688
6748741590    1234156614362211    7386158664
3824511590    1234154767827416    1441152373
3824511590    1234153621138741    1786156638
3824511590    1234153771864545    8724153137
3824511590    1234152317227726    3757154676
4342351590    1234157475435527    5833157263
4342351590    1234152141522887    5623156567
4342351590    1234155318377286    3545155568
4342351590    1234152441847465    1118158687
6278611590    1234152331441288    1645154336
6278611590    1234153737378561    2452154677
6278611590    1234153451336355    6423155335
6278611590    1234153844561361    6132157725
7831811590    1234151817233286    2873151144
7831811590    1234154242338842    6684157338
7831811590    1234151888167273    3724157727
7831811590    1234157575465276    8885152485
4623181590    1234152342417117    5157155885
4623181590    1234153888681558    1566154716
4623181590    1234158337367417    4615158244
4623181590    1234156466422446    4413152544
1363821590    1234152687648546    6543155844
1363821590    1234153643416164    5723158155
1363821590    1234157878274687    2832154655
1363821590    1234153641585477    3751156334
7527271590    1234157561385514    3621157555
7527271590    1234158531887811    4312152627
7527271590    1234157846531278    3326157632
7527271590    1234151227767247    1863158675
1135771590    1234153244813425    6527156325
1135771590    1234152348435743    3781157381
1135771590    1234155787468277    5234157156
1135771590    1234157146371317    4841155135
3482481590    1234158386783588    6786155567
3482481590    1234152163251367    6543154431
3482481590    1234151681413732    5526156817
3482481590    1234154887517468    8427152534
5165841590    1234157236544217    6778154888
5165841590    1234152872253476    1551156255
5165841590    1234152534874187    5781154186
5165841590    1234153421748622    3384158481
6637131590    1234156825188451    7884152353
6637131590    1234155345521652    4287156877
6637131590    1234155356728373    8733157184
6637131590    1234152872665757    3437155785
5835251590    1234157867836171    8535152468
5835251590    1234157188467248    1612157647
5835251590    1234157522112875    1514153637
5835251590    1234158685431375    2724154718
1676121590    1234157128261417    3484157138
1676121590    1234152312128475    4123155366
1676121590    1234154842478613    7256153617
1676121590    1234156541663142    6456151481
2568261590    1234151885428244    2783156566
2568261590    1234157885624312    6436158124
2568261590    1234153523168654    1637155155
2568261590    1234152517383437    6388154547
3632181590    1234156625713343    3112151788
3632181590    1234156718888276    3125154485
3632181590    1234156548523241    7826154625
3632181590    1234153531261137    1462151837
1438671590    1234153723882573    6364158767
1438671590    1234157783277686    4454156337
1438671590    1234154461752122    3656151336
1438671590    1234155351582737    1656152657
1848211590    1234151656447288    2231155478
1848211590    1234155636653624    2842158263
1848211590    1234151381661158    7477151131
1848211590    1234152632652357    6453153251
1357161590    1234156472247853    2862158283
1357161590    1234151415181644    1341155621
1357161590    1234151533723413    8523155723
1357161590    1234155171234783    6856156488
