   箱码            物流码           积分码
1125221593    9003158386327574    7623151458
1125221593    9003158732673372    3246155761
1125221593    9003156563348487    2354156748
1125221593    9003153144138553    6343155334
1125221593    9003157531173753    5674154522
1125221593    9003152731654238    2513152187
2186711593    9003152575186331    1417157313
2186711593    9003154353855635    8821151753
2186711593    9003154737745347    8615151431
2186711593    9003155628743132    6557151176
2186711593    9003154178328785    1265153887
2186711593    9003154887337174    1281154166
2361841593    9003155417874586    8545157322
2361841593    9003153445372686    8178158256
2361841593    9003152211715743    1155156356
2361841593    9003151382652761    6263157724
2361841593    9003158812758257    5515157235
2361841593    9003156678434647    6581152232
4622131593    9003155736454278    7832156162
4622131593    9003155525441783    2223154622
4622131593    9003153114472156    4283154885
4622131593    9003155438646623    7247157668
4622131593    9003151672884267    5861151648
4622131593    9003151828245648    3574155582
6354571593    9003153556525517    2442151445
6354571593    9003152813343625    1633151815
6354571593    9003153257742224    6252152667
6354571593    9003155728727887    6154156876
6354571593    9003151336241417    1214157873
6354571593    9003153552344311    7444157551
