   箱码            物流码           积分码
1424681539    9030154372781877    7754157122
1424681539    9030151178851282    3435156651
1424681539    9030155411322833    2151155784
1424681539    9030155277665856    1655152471
1424681539    9030158734762585    2338154485
1424681539    9030153444412323    8488153783
2317321539    9030155714487861    3727157442
2317321539    9030152553663867    3751157113
2317321539    9030157636844515    1284155217
2317321539    9030152556116174    3367157234
2317321539    9030151813225552    3762158612
2317321539    9030151844621655    8374153485
3485181539    9030157416724155    2357153848
3485181539    9030157883315262    2157153375
3485181539    9030152556182414    1124158183
3485181539    9030152888156835    4114158346
3485181539    9030155776241815    8665156554
3485181539    9030152363235884    4415154255
4678721539    9030155781145145    6111151645
4678721539    9030151677485876    6581158422
4678721539    9030153787428263    8435155867
4678721539    9030156874588232    4578154268
4678721539    9030151641755138    4837156312
4678721539    9030151335341646    7256155256
6464161539    9030155432242575    3215156773
6464161539    9030155626151284    8331155465
6464161539    9030155218376846    6161153532
6464161539    9030151238354862    6754156773
6464161539    9030155453473754    3385156821
6464161539    9030156138334626    8173158555
